coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jul 28 07:15:22 +0000 2021,koronawirus,,https://tenpoznan.pl/wielkopolska-urzad-wojewodzki-zaprasza-na-szczepienia/,0,1420281711728934917,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Urząd wojewódzki zaprasza na szczepienia https://t.co/n1nRNet2W6 #koronawirus,https://twitter.com/PoznanTen/status/1420281711728934917,Tue Jun 12 11:28:29 +0000 2018,1006498469740273664,false,https://t.co/ZSbOSX5Ww6 powstał z frustracji wywołanej przez jakość treści dostępnej w internecie. Postanowiliśmy zaoferować naszym czytelnikom coś więcej...,1,496,111,7,"Poznań, Polska",TenPoznan.pl - wiadomości / Poznań i Wielkopolska,PoznanTen,13356,,https://tenpoznan.pl,false
,Wed Jul 28 06:41:26 +0000 2021,,https://twitter.com/BIPolska/status/1420254087711387650/photo/1,http://dlvr.it/S4Yg4k,0,1420273171954024450,,,,pl,,false,,2,1420254087711387650,BIPolska,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rząd szykuje się do czwartej fali. Zaszczepionym ma być lżej https://t.co/H45HNUnEpw https://t.co/qSOtOq4FFe,https://twitter.com/JoannaSheeper/status/1420273171954024450,Fri Jun 26 05:08:27 +0000 2015,3346226895,false,I'm still wondering...,34175,78,143,0,"Łódź, Polska",JoannaSheeper,JoannaSheeper,4773,,,false
,Wed Jul 28 07:47:24 +0000 2021,Covid19,,https://wiadomosci.wp.pl/koronawirus-dramatyczna-sytuacja-w-hiszpanii-6666005355301632a,0,1420289776125718534,,,,pl,,false,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jak myślicie, czy tam, gdzie jest więcej obostrzeń, będzie większa odporność na #Covid19? Podaję przykład Hiszpanii https://t.co/Ixjowgfb0B",https://twitter.com/rtygw/status/1420289776125718534,Mon Jun 19 21:59:22 +0000 2017,876922381452939265,false,common sense / głos zdrowego rozsądku,11217,160,386,0,"Warszawa, Polska",TT Observer,rtygw,3869,,,false
,Wed Jul 28 07:10:09 +0000 2021,,,,0,1420280399398424576,,,,pl,,,,2,1420266162009657348,Int_Wydarzenia,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Osoby, które odmawiają przyjęcia szczepionki przeciw COVID-19, są samolubne i narażają życie innych na ryzyko - powiedział brytyjski minister Michael Gove. Ostrzegł, że osoby te mogą mieć zakaz wstępu na niektóre wydarzenia i imprezy masowe.
https://t.co/SkYwVSykga",https://twitter.com/mwj53/status/1420280399398424576,Sun Oct 09 15:26:11 +0000 2011,387726431,false,"Z wykształcenia matematyk, specjalista public relations, przez 16 lat kier. Biura Informacji i Promocji UPWr",23443,4741,2933,71,Wrocław,Maria Wanke-Jerie,mwj53,67231,,http://www.TwitterTwins.pl,false
,Wed Jul 28 06:18:21 +0000 2021,,,,1,1420267363463843844,,,,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Baba z pracy czyta jakiś artykuł, że koronawirus nie musi być leczony i ludzie nie muszą być pod respiratorem. CZYTA. CAŁY. ARTYKUŁ. ZAMKNIJ. SIĘ. JA. PIERDOLE.",https://twitter.com/tea0babe/status/1420267363463843844,Wed Mar 27 14:23:41 +0000 2019,1110910262176071680,false,"☁︎   𝔷𝔢𝔰 𝔭𝔬𝔴𝔬𝔡𝔢𝔪 𝔪𝔬𝔦𝔠𝔥 𝔩𝔢𝔷
     𝔫𝔦𝔢𝔠𝔥 𝔠𝔦𝔢 𝔱𝔢𝔯𝔞𝔷 
    𝔧𝔢𝔟𝔦𝔢 𝔭𝔦𝔢𝔰    ☁︎",76838,435,436,5,,☕︎ 𝑴 𝑰 𝑹 𝑰 𝑨 𝑴 ☕︎,tea0babe,15368,,,false
,Wed Jul 28 06:26:10 +0000 2021,,,,0,1420269332395921409,,,,pl,,,,5,1420268839909171202,tvn24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Włoski Instytut Służby Zdrowia poinformował, że około 99 procent osób zmarłych w kraju na COVID-19 od lutego tego roku nie otrzymało pełnej dawki szczepionki na koronawirusa.

Przeczytaj więcej w @tvn24:
https://t.co/2vrGuovFlU",https://twitter.com/gm68581174/status/1420269332395921409,Thu Jan 31 17:05:21 +0000 2019,1091019618351763456,false,"Warto zaryzykować sen, tylko po to, żeby sie obudzić.",9629,106,88,1,Earth,gm,gm68581174,6179,,,false
,Wed Jul 28 06:50:41 +0000 2021,PR24 koronawirus,,,1,1420275502816927744,,,,pl,,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",".@MarcinPiasecki2 w #PR24: Przykre jest to, że biernie czekamy na nadchodzącą IV falę #koronawirus",https://twitter.com/PolskieRadio24/status/1420275502816927744,Tue Dec 10 11:31:33 +0000 2013,2239021813,false,"Oficjalny profil stacji Polskie Radio 24
📻 SŁUCHAJ: https://t.co/xPB3opdjRh
🎥 OGLĄDAJ: https://t.co/3hfZUOCDlg
📲 OBSERWUJ: https://t.co/gjJEy2zIo4",14158,39622,1467,274,,Polskie Radio 24,PolskieRadio24,178182,,http://polskieradio24.pl,false
,Wed Jul 28 06:22:28 +0000 2021,pandemia DeltaAtakuje,,https://wiadomosci.wp.pl/koronawirus-dramatyczna-sytuacja-w-hiszpanii-6666005355301632a,6,1420268399486283778,,,,pl,,false,,2,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ktoś wybiera się na urlop do Hiszpanii?
#pandemia
#DeltaAtakuje  
https://t.co/qBApH01kN5",https://twitter.com/irenagos/status/1420268399486283778,Fri Nov 21 17:54:48 +0000 2014,2887099821,false,"Sarkazm mi ojcem, ironia matką - z mym charakterem nie ma tak łatwo...",135049,7096,1002,13,"Pomorskie, Polska",reina🇵🇱#CSB 🇪🇺,irenagos,73627,,,false
,Wed Jul 28 05:55:00 +0000 2021,Covid_19,,http://www.rp.pl/Koronawirus-SARS-CoV-2/307279912-Wariant-Delta-Weterani-na-pierwszy-ogien.html,2,1420261486396469250,,,,pl,,false,,1,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","🔴 TYLKO U NAS:
Ameryka walczy z wariantem delta. Pojawiają się nakazy szczepień
#Covid_19

https://t.co/7puhBlszGJ",https://twitter.com/rzeczpospolita/status/1420261486396469250,Fri Sep 24 01:14:56 +0000 2010,194399035,false,Rzeczpospolita to jeden z liderów prasy codziennej w Polsce. Jest najczęściej cytowaną gazetą w kraju. Oto jedyny oficjalny profil Rz.,1960,243318,655,1022,Polska,Rzeczpospolita,rzeczpospolita,226325,,http://www.rp.pl,true
,Wed Jul 28 06:08:29 +0000 2021,,,,0,1420264880763031553,,,,pl,,,,8,1420263961879093248,JMiziolek,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dzień dobry 😊 Jak dowiedział się „Wprost” firmy sprawdzą, kto z pracowników się zaszczepił. Projekt na kolejnym posiedzeniu Sejmu. „Pracodawca będzie mógł przesunąć niezaszczepioną osobą na inne stanowisko, bez kontaktu z klientami”. https://t.co/AQ3YBdC75k",https://twitter.com/RobertFelus/status/1420264880763031553,Thu Aug 01 09:30:51 +0000 2013,1637599729,false,"Dziennikarz, wykładowca SWPS. Kiedyś Dziennik Polski, Echo Krakowa, SE, Fakt, Forbes, Przegląd Sportowy, Onet Rano, WP i WP SportoweFakty, Wprost",46106,7928,1286,64,,Robert Feluś 🇵🇱🇪🇺😷,RobertFelus,35613,,,false
,Wed Jul 28 05:43:00 +0000 2021,,,https://tvn24.pl/biznes/ze-swiata/koronawirus-paszporty-covidowe-nie-dla-ozdrowiencow-po-tescie-antygenowym-5159373,1,1420258466518667266,,,,pl,,false,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Unijny Certyfikat Covid ułatwia obywatelom UE podróżowanie. 

https://t.co/QOgxiIbCr6",https://twitter.com/TVN24BiS/status/1420258466518667266,Thu Oct 03 13:03:25 +0000 2013,1930622304,false,"Z pasją o świecie. Obserwuj także: @tvn24, @FaktyTVN.",1735,119126,91,452,Polska,TVN24 BiS,TVN24BiS,60431,,http://tvn24bis.pl/,true
,Wed Jul 28 06:10:06 +0000 2021,,,,0,1420265289099485184,,,,pl,,,,8,1420263961879093248,JMiziolek,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dzień dobry 😊 Jak dowiedział się „Wprost” firmy sprawdzą, kto z pracowników się zaszczepił. Projekt na kolejnym posiedzeniu Sejmu. „Pracodawca będzie mógł przesunąć niezaszczepioną osobą na inne stanowisko, bez kontaktu z klientami”. https://t.co/AQ3YBdC75k",https://twitter.com/TygodnikWPROST/status/1420265289099485184,Fri Feb 26 10:30:21 +0000 2010,117707065,false,Kliknij w link! Poznaj Wprost PREMIUM ⬇️ #Wprost,6853,421608,1500,778,Poland,WPROST.pl,TygodnikWPROST,176974,,https://premium.wprost.pl/,false
